raw	family	qualifier	rows
64bit-compare-reg-pressure	PROVISIONAL:64bit-compare-reg-pressure	64bit-compare-reg-pressure	1
ANDS-vs-TST-instruction-choice	PROVISIONAL:ands-vs-tst-instruction-choice	ANDS-vs-TST-instruction-choice	1
C-23-C-36	C-23+C-36	C-23-C-36	1
C-31	C-31	formal anchor	1
C-32	C-32	formal anchor	3
C-32-cross-overlay-bl	C-32	cross-overlay-bl	1
C-34	C-34	formal anchor	2
C-55-observed	C-55	observed	1
C-60	C-60	formal anchor	3
C-65-store-strength-reduction-confirmed	C-65	store-strength-reduction-confirmed	1
C-65-strength-reduction	C-65	strength-reduction	1
CSE-resistant-reverse-direction	PROVISIONAL:pool/address-cse	CSE-resistant-reverse-direction	1
OQ-1-dead-branch-preservation	PROVISIONAL:oq-1-dead-branch-preservation	OQ-1-dead-branch-preservation	1
P-1-adjacent-shift-pair-permanent	P-1	adjacent-shift-pair-permanent	1
P-1-shift-pair-vs-mask-collapse-halfword-zeroextend	P-1	shift-pair-vs-mask-collapse-halfword-zeroextend	1
P-17-commutative-add-operand-order	P-17	commutative-add-operand-order	1
P-2-stm-fusion	P-2	stm-fusion	2
P-20-3register-permutation	P-20	3register-permutation	1
P-20-base-ptr-rescratch-after-calls	P-20	base-ptr-rescratch-after-calls	1
P-20-bf94-result-register	P-20	bf94-result-register	2
P-20-cmp-operand-r0-r1-swap	P-20	cmp-operand-r0-r1-swap	1
P-20-confirmed	P-20	confirmed	1
P-20-dead-stackword-register	P-20	dead-stackword-register	1
P-20-dual-register-swap	P-20	dual-register-swap	1
P-20-family	P-20	P-20-family	2
P-20-final-add-register-choice	P-20	final-add-register-choice	1
P-20-guard-merge-residual	P-20	guard-merge-residual	1
P-20-leaf-r0r1-choice	P-20	leaf-r0r1-choice	1
P-20-lr-reuse-vs-r5-allocation	P-20	lr-reuse-vs-r5-allocation	1
P-20-lr-vs-ip	P-20	lr-vs-ip	1
P-20-mla-dest-register	P-20	mla-dest-register	1
P-20-mul-dest-cascade	P-20	mul-dest-cascade	1
P-20-operand-order-swap	P-20	operand-order-swap	2
P-20-plus-C81-register-number	P-20	plus-C81-register-number	2
P-20-r0-vs-ip	P-20	r0-vs-ip	1
P-20-r0-vs-r1	P-20	r0-vs-r1	1
P-20-r0-vs-r2	P-20	r0-vs-r2	1
P-20-r0-vs-r3-scratch	P-20	r0-vs-r3-scratch	1
